did,all_exp
ID8241,RNAi-V9B23 ;feeding-drop ;48h
ID8242,RNAi-V9B23 ;feeding-drop ;48h
ID8243,RNAi-V9B23 ;feeding-drop ;48h
ID2057,RNAi-V9B23 ;feeding-drop ;24h
ID2059,RNAi-V9B23 ;feeding-drop ;24h
ID2070,RNAi-V9B23 ;feeding-drop ;24h
ID2071,RNAi-V9B23 ;feeding-drop ;24h
ID2072,RNAi-V9B23 ;feeding-drop ;24h
ID2073,RNAi-V9B23 ;feeding-drop ;24h
ID4657,RNAi-V9B23 ;feeding-drop ;24h
ID4658,RNAi-V9B23 ;feeding-drop ;24h
ID4659,RNAi-V9B23 ;feeding-drop ;24h
ID4660,RNAi-V9B23 ;feeding-drop ;24h
ID4661,RNAi-V9B23 ;feeding-drop ;24h
ID4662,RNAi-V9B23 ;feeding-drop ;24h
ID4663,RNAi-V9B23 ;feeding-drop ;24h
ID8326,RNAi-V9B23 ;feeding-3mM ;48h
ID8329,RNAi-V9B23 ;feeding-3mM ;48h
ID8330,RNAi-V9B23 ;feeding-3mM ;48h
ID8331,RNAi-V9B23 ;feeding-3mM ;48h
ID8332,RNAi-V9B23 ;feeding-3mM ;48h
ID8333,RNAi-V9B23 ;feeding-3mM ;48h
ID9751,RNAi ;feeding-drop ;24h
ID9752,RNAi ;feeding-drop ;24h
ID9753,RNAi ;feeding-drop ;24h
ID9754,RNAi ;feeding-drop ;24h
ID9755,RNAi ;feeding-drop ;24h
ID9756,RNAi ;feeding-drop ;24h
ID9757,RNAi ;feeding-drop ;24h
ID9758,RNAi ;feeding-drop ;24h
ID1968,RNAi-III4J10 ;feeding-drop ;24h
ID1967,RNAi-III4J10 ;feeding-drop ;24h
ID1969,RNAi-III4J10 ;feeding-drop ;24h
ID1970,RNAi-III4J10 ;feeding-drop ;24h
ID1971,RNAi-III4J10 ;feeding-drop ;24h
ID1972,RNAi-III4J10 ;feeding-drop ;24h
ID1973,RNAi-III4J10 ;feeding-drop ;24h
ID929,RNAi-III4J10 ;feeding-drop ;24h
ID942,RNAi-III4J10 ;feeding-drop ;24h
ID944,RNAi-III4J10 ;feeding-drop ;24h
ID938,RNAi-III4J10 ;feeding-drop ;24h
ID941,RNAi-III4J10 ;feeding-drop ;24h
ID6051,RNAi ;III-4J10 ;feeding-3mM_48h
ID6052,RNAi ;III-4J10 ;feeding-3mM_48h
ID6053,RNAi ;III-4J10 ;feeding-3mM_48h
ID6054,RNAi ;III-4J10 ;feeding-3mM_48h
ID6055,RNAi ;III-4J10 ;feeding-3mM_48h
ID6058,RNAi ;III-4J10 ;feeding-3mM_48h
ID6102,RNAi ;III-4J10 ;feeding-3mM_48h
ID6103,RNAi ;III-4J10 ;feeding-3mM_48h
ID6119,RNAi ;III-4J10 ;feeding-3mM_48h
ID6100,RNAi ;III-4J10 ;feeding-3mM_48h
ID6094,RNAi ;III-4J10 ;feeding-3mM_48h
ID6095,RNAi ;III-4J10 ;feeding-3mM_48h
ID11337,RNAi-III4J10 ;feeding-drop ;24h
ID11340,RNAi-III4J10 ;feeding-drop ;24h
ID11342,RNAi-III4J10 ;feeding-drop ;24h
ID11321,RNAi-III4J10 ;feeding-drop ;24h
ID11324,RNAi-III4J10 ;feeding-drop ;24h
ID11325,RNAi-III4J10 ;feeding-drop ;24h
ID11326,RNAi-III4J10 ;feeding-drop ;24h
ID11327,RNAi-III4J10 ;feeding-drop ;24h
ID11328,RNAi-III4J10 ;feeding-drop ;24h
ID8107,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8108,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8109,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8110,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8111,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8112,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8215,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID8217,mutant-or207 ;;RNAi-III4J10 ;feeding-drop ;48h
ID7507,mutant-or207
ID7508,mutant-or207
ID7509,mutant-or207
ID7510,mutant-or207
ID7511,mutant-or207
ID7555,mutant-or207
ID7557,mutant-or207
ID7558,mutant-or207
ID7478,mutant-or207
ID7479,mutant-or207
ID7480,mutant-or207
ID7653,none
ID7655,none
ID7656,none
ID7657,none
ID7658,none
ID7660,none
ID7512,none
ID7513,none
ID7514,none
ID7515,none
ID7516,none
ID7551,none
ID7552,none
ID7553,none
ID7554,none
ID8519,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8520,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8521,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8522,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8523,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8509,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8510,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8511,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8516,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8517,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID8518,mutant-or207 ;;RNAi-I7P07 ;feeding-1mM ;24h
ID2429,mutant-ne992
ID2436,mutant-ne992
ID2404,mutant-ne992
ID2405,mutant-ne992
ID2406,mutant-ne992
ID2407,mutant-ne992
ID2408,mutant-ne992
ID2410,mutant-ne992
ID2411,mutant-ne992
ID2412,mutant-ne992
ID2415,mutant-ne992
ID2416,mutant-ne992
ID2431,mutant-ne992
ID2432,mutant-ne992
ID2433,mutant-ne992
ID2435,mutant-ne992
ID2437,mutant-ne992
ID2438,mutant-ne992
ID2439,mutant-ne992
ID2441,mutant-ne992
ID2442,mutant-ne992
ID2444,mutant-ne992
ID2443,mutant-ne992
ID1951,RNAi-vec10 ;feeding-drop ;24h
ID1952,RNAi-vec10 ;feeding-drop ;24h
ID1954,RNAi-vec10 ;feeding-drop ;24h
ID1955,RNAi-vec10 ;feeding-drop ;24h
ID1956,RNAi-vec10 ;feeding-drop ;24h
ID1957,RNAi-vec10 ;feeding-drop ;24h
ID1958,RNAi-vec10 ;feeding-drop ;24h
ID1803,RNAi-II6F21 ;feeding-drop ;24h
ID1804,RNAi-II6F21 ;feeding-drop ;24h
ID1806,RNAi-II6F21 ;feeding-drop ;24h
ID1807,RNAi-II6F21 ;feeding-drop ;24h
ID1808,RNAi-II6F21 ;feeding-drop ;24h
ID1805,RNAi-II6F21 ;feeding-drop ;24h
ID1986,RNAi-II6F21 ;feeding-drop ;24h
ID1987,RNAi-II6F21 ;feeding-drop ;24h
ID1988,RNAi-II6F21 ;feeding-drop ;24h
ID1983,RNAi-II6F21 ;feeding-drop ;24h
ID1982,RNAi-II6F21 ;feeding-drop ;24h
ID1984,RNAi-II6F21 ;feeding-drop ;24h
ID1820,RNAi-IV6P21 ;feeding-drop ;24h
ID1822,RNAi-IV6P21 ;feeding-drop ;24h
ID1823,RNAi-IV6P21 ;feeding-drop ;24h
ID1825,RNAi-IV6P21 ;feeding-drop ;24h
ID1826,RNAi-IV6P21 ;feeding-drop ;24h
ID1827,RNAi-IV6P21 ;feeding-drop ;24h
ID1821,RNAi-IV6P21 ;feeding-drop ;24h
ID1824,RNAi-IV6P21 ;feeding-drop ;24h
ID8228,RNAi-IV6P21 ;feeding-drop ;24h
ID8229,RNAi-IV6P21 ;feeding-drop ;24h
ID8230,RNAi-IV6P21 ;feeding-drop ;24h
ID8231,RNAi-IV6P21 ;feeding-drop ;24h
ID8232,RNAi-IV6P21 ;feeding-drop ;24h
ID11370,RNAi-IV6P21 ;feeding-drop ;24h
ID11396,RNAi-IV6P21 ;feeding-drop ;24h
ID11397,RNAi-IV6P21 ;feeding-drop ;24h
ID11398,RNAi-IV6P21 ;feeding-drop ;24h
