did,gene
ID8241,bmk1-23C
ID8242,bmk1-23C
ID8243,bmk1-23C
ID2057,bmk1-18C
ID2059,bmk1-18C
ID2070,bmk1-18C
ID2071,bmk1-18C
ID2072,bmk1-18C
ID2073,bmk1-18C
ID4657,bmk1-18C
ID4658,bmk1-18C
ID4659,bmk1-18C
ID4660,bmk1-18C
ID4661,bmk1-18C
ID4662,bmk1-18C
ID4663,bmk1-18C
ID8326,bmk1-23C
ID8329,bmk1-23C
ID8330,bmk1-23C
ID8331,bmk1-23C
ID8332,bmk1-23C
ID8333,bmk1-23C
ID9751,bmk1-18C
ID9752,bmk1-18C
ID9753,bmk1-18C
ID9754,bmk1-18C
ID9755,bmk1-18C
ID9756,bmk1-18C
ID9757,bmk1-18C
ID9758,bmk1-18C
ID1968,cls2-18C
ID1967,cls2-18C
ID1969,cls2-18C
ID1970,cls2-18C
ID1971,cls2-18C
ID1972,cls2-18C
ID1973,cls2-18C
ID929,cls2-18C
ID942,cls2-18C
ID944,cls2-18C
ID938,cls2-18C
ID941,cls2-18C
ID6051,cls2-23C
ID6052,cls2-23C
ID6053,cls2-23C
ID6054,cls2-23C
ID6055,cls2-23C
ID6058,cls2-23C
ID6102,cls2-23C
ID6103,cls2-23C
ID6119,cls2-23C
ID6100,cls2-23C
ID6094,cls2-23C
ID6095,cls2-23C
ID11337,cls2-23C
ID11340,cls2-23C
ID11342,cls2-23C
ID11321,cls2-23C
ID11324,cls2-23C
ID11325,cls2-23C
ID11326,cls2-23C
ID11327,cls2-23C
ID11328,cls2-23C
ID8107,air2cls2-15C
ID8108,air2cls2-15C
ID8109,air2cls2-15C
ID8110,air2cls2-15C
ID8111,air2cls2-15C
ID8112,air2cls2-15C
ID8215,air2cls2-15C
ID8217,air2cls2-15C
ID7507,air2-15C
ID7508,air2-15C
ID7509,air2-15C
ID7510,air2-15C
ID7511,air2-15C
ID7555,air2-15C
ID7557,air2-15C
ID7558,air2-15C
ID7478,air2-25C
ID7479,air2-25C
ID7480,air2-25C
ID7653,JEP29none-25C
ID7655,JEP29none-25C
ID7656,JEP29none-25C
ID7657,JEP29none-25C
ID7658,JEP29none-25C
ID7660,JEP29none-25C
ID7512,JEP29none-15C
ID7513,JEP29none-15C
ID7514,JEP29none-15C
ID7515,JEP29none-15C
ID7516,JEP29none-15C
ID7551,JEP29none-15C
ID7552,JEP29none-15C
ID7553,JEP29none-15C
ID7554,JEP29none-15C
ID8519,air2sep1-15C
ID8520,air2sep1-15C
ID8521,air2sep1-15C
ID8522,air2sep1-15C
ID8523,air2sep1-15C
ID8509,air2sep1-15C
ID8510,air2sep1-15C
ID8511,air2sep1-15C
ID8516,air2sep1-15C
ID8517,air2sep1-15C
ID8518,air2sep1-15C
ID2429,JEP5mbk2
ID2436,JEP5mbk2
ID2404,JEP5mbk2
ID2405,JEP5mbk2
ID2406,JEP5mbk2
ID2407,JEP5mbk2
ID2408,JEP5mbk2
ID2410,JEP5mbk2
ID2411,JEP5mbk2
ID2412,JEP5mbk2
ID2415,JEP5mbk2
ID2416,JEP5mbk2
