did,is_RNAi
ID8241,True
ID8242,True
ID8243,True
ID2057,True
ID2059,True
ID2070,True
ID2071,True
ID2072,True
ID2073,True
ID4657,True
ID4658,True
ID4659,True
ID4660,True
ID4661,True
ID4662,True
ID4663,True
ID8326,True
ID8329,True
ID8330,True
ID8331,True
ID8332,True
ID8333,True
ID9751,True
ID9752,True
ID9753,True
ID9754,True
ID9755,True
ID9756,True
ID9757,True
ID9758,True
ID1968,True
ID1967,True
ID1969,True
ID1970,True
ID1971,True
ID1972,True
ID1973,True
ID929,True
ID942,True
ID944,True
ID938,True
ID941,True
ID6051,True
ID6052,True
ID6053,True
ID6054,True
ID6055,True
ID6058,True
ID6102,True
ID6103,True
ID6119,True
ID6100,True
ID6094,True
ID6095,True
ID11337,True
ID11340,True
ID11342,True
ID11321,True
ID11324,True
ID11325,True
ID11326,True
ID11327,True
ID11328,True
ID8107,True
ID8108,True
ID8109,True
ID8110,True
ID8111,True
ID8112,True
ID8215,True
ID8217,True
ID7507,False
ID7508,False
ID7509,False
ID7510,False
ID7511,False
ID7555,False
ID7557,False
ID7558,False
ID7478,False
ID7479,False
ID7480,False
ID7653,False
ID7655,False
ID7656,False
ID7657,False
ID7658,False
ID7660,False
ID7512,False
ID7513,False
ID7514,False
ID7515,False
ID7516,False
ID7551,False
ID7552,False
ID7553,False
ID7554,False
ID8519,True
ID8520,True
ID8521,True
ID8522,True
ID8523,True
ID8509,True
ID8510,True
ID8511,True
ID8516,True
ID8517,True
ID8518,True
ID2429,False
ID2436,False
ID2404,False
ID2405,False
ID2406,False
ID2407,False
ID2408,False
ID2410,False
ID2411,False
ID2412,False
ID2415,False
ID2416,False
ID2431,False
ID2432,False
ID2433,False
ID2435,False
ID2437,False
ID2438,False
ID2439,False
ID2441,False
ID2442,False
ID2444,False
ID2443,False
ID1951,True
ID1952,True
ID1954,True
ID1955,True
ID1956,True
ID1957,True
ID1958,True
ID1803,True
ID1804,True
ID1806,True
ID1807,True
ID1808,True
ID1805,True
ID1986,True
ID1987,True
ID1988,True
ID1983,True
ID1982,True
ID1984,True
ID1820,True
ID1822,True
ID1823,True
ID1825,True
ID1826,True
ID1827,True
ID1821,True
ID1824,True
ID8228,True
ID8229,True
ID8230,True
ID8231,True
ID8232,True
ID11370,True
ID11396,True
ID11397,True
ID11398,True
ID1828,True
ID1829,True
ID1830,True
ID1831,True
ID1832,True
ID1833,True
ID1834,True
ID2259,True
ID2260,True
ID2261,True
ID2263,True
ID2264,True
ID2265,True
ID2266,True
ID2273,True
ID2267,True
ID2268,True
ID2269,True
ID2270,True
ID2271,True
ID2272,True
ID2262,True
ID1655,True
ID1656,True
ID1658,True
ID1660,True
ID1659,True
ID1027,True
ID1028,True
ID1029,True
ID1030,True
ID1031,True
ID1032,True
ID1033,True
ID5255,False
ID5256,False
ID5257,False
ID7620,False
ID7621,False
