did,pid
ID8241,4912.0
ID8242,4912.0
ID8243,4912.0
ID2057,1002.0
ID2059,1002.0
ID2070,1002.0
ID2071,1002.0
ID2072,1002.0
ID2073,1002.0
ID4657,2607.0
ID4658,2607.0
ID4659,2607.0
ID4660,2607.0
ID4661,2607.0
ID4662,2607.0
ID4663,2607.0
ID8326,4955.0
ID8329,4955.0
ID8330,4955.0
ID8331,4955.0
ID8332,4955.0
ID8333,4955.0
ID9751,5501.0
ID9752,5501.0
ID9753,5501.0
ID9754,5501.0
ID9755,5501.0
ID9756,5501.0
ID9757,5501.0
ID9758,5501.0
ID1968,903.0
ID1967,903.0
ID1969,903.0
ID1970,903.0
ID1971,903.0
ID1972,903.0
ID1973,903.0
ID929,239.0
ID942,239.0
ID944,239.0
ID938,239.0
ID941,239.0
ID6051,3501.0
ID6052,3501.0
ID6053,3501.0
ID6054,3501.0
ID6055,3501.0
ID6058,3501.0
ID6102,3501.0
ID6103,3501.0
ID6119,3501.0
ID6100,3501.0
ID6094,3501.0
ID6095,3501.0
ID11337,5781.0
ID11340,5781.0
ID11342,5781.0
ID11321,5779.0
ID11324,5779.0
ID11325,5779.0
ID11326,5779.0
ID11327,5779.0
ID11328,5779.0
ID8107,4804.0
ID8108,4804.0
ID8109,4804.0
ID8110,4804.0
ID8111,4804.0
ID8112,4804.0
ID8215,4804.0
ID8217,4804.0
ID7507,4268.0
ID7508,4268.0
ID7509,4268.0
ID7510,4268.0
ID7511,4268.0
ID7555,4268.0
ID7557,4268.0
ID7558,4268.0
ID7478,4261.0
ID7479,4261.0
ID7480,4261.0
ID7653,4362.0
ID7655,4362.0
ID7656,4362.0
ID7657,4362.0
ID7658,4362.0
ID7660,4362.0
ID7512,4269.0
ID7513,4269.0
ID7514,4269.0
ID7515,4269.0
ID7516,4269.0
ID7551,4269.0
ID7552,4269.0
ID7553,4269.0
ID7554,4269.0
ID8519,4985.0
ID8520,4985.0
ID8521,4985.0
ID8522,4985.0
ID8523,4985.0
ID8509,4985.0
ID8510,4985.0
ID8511,4985.0
ID8516,4985.0
ID8517,4985.0
ID8518,4985.0
ID2429,1303.0
ID2436,1303.0
ID2404,1303.0
ID2405,1303.0
ID2406,1303.0
ID2407,1303.0
ID2408,1303.0
ID2410,1303.0
ID2411,1303.0
ID2412,1303.0
ID2415,1303.0
ID2416,1303.0
ID2431,1303.0
ID2432,1303.0
ID2433,1303.0
ID2435,1303.0
ID2437,1303.0
ID2438,1303.0
ID2439,1303.0
ID2441,1303.0
ID2442,1303.0
ID2444,1303.0
ID2443,1303.0
ID1951,901.0
ID1952,901.0
ID1954,901.0
ID1955,901.0
ID1956,901.0
ID1957,901.0
ID1958,901.0
ID1803,853.0
ID1804,853.0
ID1806,853.0
ID1807,853.0
ID1808,853.0
ID1805,853.0
ID1986,905.0
ID1987,905.0
ID1988,905.0
ID1983,905.0
ID1982,905.0
ID1984,905.0
ID1820,855.0
ID1822,855.0
ID1823,855.0
ID1825,855.0
ID1826,855.0
ID1827,855.0
ID1821,855.0
ID1824,855.0
ID8228,4908.0
ID8229,4908.0
ID8230,4908.0
ID8231,4908.0
ID8232,4908.0
ID11370,5786.0
ID11396,5786.0
ID11397,5786.0
ID11398,5786.0
ID1828,856.0
ID1829,856.0
ID1830,856.0
ID1831,856.0
ID1832,856.0
ID1833,856.0
ID1834,856.0
ID2259,1251.0
ID2260,1251.0
ID2261,1251.0
ID2263,1251.0
ID2264,1251.0
ID2265,1251.0
ID2266,1251.0
ID2273,1251.0
ID2267,1251.0
ID2268,1251.0
ID2269,1251.0
ID2270,1251.0
ID2271,1251.0
ID2272,1251.0
ID2262,1251.0
ID1655,701.0
ID1656,701.0
ID1658,701.0
ID1660,701.0
ID1659,701.0
ID1027,253.0
ID1028,253.0
ID1029,253.0
ID1030,253.0
ID1031,253.0
ID1032,253.0
ID1033,253.0
ID5255,2951.0
ID5256,2951.0
ID5257,2951.0
ID7620,4353.0
ID7621,4353.0
ID7622,4353.0
ID7623,4353.0
ID7624,4353.0
ID7628,4353.0
ID4985,2853.0
ID4986,2853.0
ID4987,2853.0
ID4989,2853.0
ID4991,2853.0
ID4992,2853.0
ID1752,801.0
ID1753,801.0
ID1801,801.0
ID1809,801.0
ID1864,801.0
ID1865,801.0
ID1867,801.0
ID1868,801.0
ID1869,801.0
ID1866,801.0
ID1901,801.0
ID1902,801.0
ID1903,801.0
ID1904,801.0
ID1905,801.0
ID1906,801.0
ID1907,801.0
ID1908,801.0
ID1914,801.0
ID1915,801.0
ID1916,801.0
ID1917,801.0
ID1918,801.0
ID1919,801.0
ID1601,651.0
ID1602,651.0
ID1603,651.0
ID1604,651.0
ID9251,5351.0
ID9302,5351.0
ID9303,5351.0
ID9304,5351.0
ID9305,5351.0
ID9306,5351.0
ID9308,5351.0
ID9309,5351.0
ID9310,5351.0
ID9307,5351.0
ID11180,5763.0
ID11182,5763.0
ID11183,5763.0
ID11184,5763.0
ID11185,5763.0
ID11188,5763.0
ID11203,5763.0
ID11204,5763.0
ID11205,5763.0
ID11206,5763.0
ID11207,5763.0
ID11208,5763.0
ID11254,5763.0
ID11267,5763.0
ID11268,5763.0
ID11269,5763.0
ID11271,5763.0
ID11257,5763.0
ID11258,5763.0
ID11260,5763.0
ID11261,5763.0
ID11265,5763.0
ID11274,5763.0
ID11279,5763.0
ID11297,5763.0
ID11302,5763.0
ID11163,-1.0
ID11164,-1.0
ID11165,-1.0
ID11166,-1.0
ID11168,-1.0
ID11177,-1.0
ID11178,-1.0
ID11179,-1.0
ID11169,-1.0
ID11170,-1.0
ID11171,-1.0
ID11172,-1.0
ID11174,-1.0
ID11176,-1.0
ID11561,5801.0
ID11562,5801.0
ID11563,5801.0
ID11552,5801.0
ID11553,5801.0
ID11554,5801.0
ID11555,5801.0
ID11556,5801.0
ID11557,5801.0
ID11558,5801.0
ID11559,5801.0
ID12245,5957.0
ID12246,5957.0
ID12247,5957.0
ID12249,5957.0
ID12251,5957.0
ID12252,5957.0
ID12253,5957.0
ID12256,5957.0
ID11962,5880.0
ID11963,5880.0
ID11965,5880.0
ID11966,5880.0
ID11967,5880.0
ID11968,5880.0
ID11969,5880.0
ID11970,5880.0
ID11971,5880.0
ID11973,5880.0
ID11976,5880.0
ID11977,5880.0
ID11978,5880.0
ID11983,5880.0
ID11984,5880.0
ID12045,5880.0
ID12047,5880.0
ID3920,2251.0
ID3921,2251.0
ID3925,2251.0
ID2566,1404.0
ID2567,1404.0
ID2569,1404.0
ID2570,1404.0
ID2572,1404.0
ID2573,1404.0
ID2604,1404.0
ID1003,241.0
ID2002,953.0
ID2006,953.0
ID2007,953.0
ID2008,953.0
ID2010,953.0
ID2011,953.0
ID2013,953.0
ID2014,953.0
ID5966,3403.0
ID5968,3403.0
ID5971,3403.0
ID5967,3403.0
ID5861,3302.0
ID5854,3302.0
ID5855,3302.0
ID5857,3302.0
ID5858,3302.0
ID5859,3302.0
ID3756,2218.0
ID3758,2218.0
ID3364,2004.0
ID3365,2004.0
ID3366,2004.0
ID3367,2005.0
ID3368,2005.0
