did,strain
ID8241,TH27
ID8242,TH27
ID8243,TH27
ID2057,TH27
ID2059,TH27
ID2070,TH27
ID2071,TH27
ID2072,TH27
ID2073,TH27
ID4657,TH27
ID4658,TH27
ID4659,TH27
ID4660,TH27
ID4661,TH27
ID4662,TH27
ID4663,TH27
ID8326,TH27
ID8329,TH27
ID8330,TH27
ID8331,TH27
ID8332,TH27
ID8333,TH27
ID9751,TH27
ID9752,TH27
ID9753,TH27
ID9754,TH27
ID9755,TH27
ID9756,TH27
ID9757,TH27
ID9758,TH27
ID1968,TH27
ID1967,TH27
ID1969,TH27
ID1970,TH27
ID1971,TH27
ID1972,TH27
ID1973,TH27
ID929,TH27
ID942,TH27
ID944,TH27
ID938,TH27
ID941,TH27
ID6051,TH27
ID6052,TH27
ID6053,TH27
ID6054,TH27
ID6055,TH27
ID6058,TH27
ID6102,TH27
ID6103,TH27
ID6119,TH27
ID6100,TH27
ID6094,TH27
ID6095,TH27
ID11337,TH27
ID11340,TH27
ID11342,TH27
ID11321,TH27
ID11324,TH27
ID11325,TH27
ID11326,TH27
ID11327,TH27
ID11328,TH27
ID8107,JEP31
ID8108,JEP31
ID8109,JEP31
ID8110,JEP31
ID8111,JEP31
ID8112,JEP31
ID8215,JEP31
ID8217,JEP31
ID7507,JEP31
ID7508,JEP31
ID7509,JEP31
ID7510,JEP31
ID7511,JEP31
ID7555,JEP31
ID7557,JEP31
ID7558,JEP31
ID7478,JEP31
ID7479,JEP31
ID7480,JEP31
ID7653,JEP29
ID7655,JEP29
ID7656,JEP29
ID7657,JEP29
ID7658,JEP29
ID7660,JEP29
ID7512,JEP29
ID7513,JEP29
ID7514,JEP29
ID7515,JEP29
ID7516,JEP29
ID7551,JEP29
ID7552,JEP29
ID7553,JEP29
ID7554,JEP29
ID8519,JEP31
ID8520,JEP31
ID8521,JEP31
ID8522,JEP31
ID8523,JEP31
ID8509,JEP31
ID8510,JEP31
ID8511,JEP31
ID8516,JEP31
ID8517,JEP31
ID8518,JEP31
ID2429,JEP5
ID2436,JEP5
ID2404,JEP5
ID2405,JEP5
ID2406,JEP5
ID2407,JEP5
ID2408,JEP5
ID2410,JEP5
ID2411,JEP5
ID2412,JEP5
ID2415,JEP5
ID2416,JEP5
ID2431,JEP5
ID2432,JEP5
ID2433,JEP5
ID2435,JEP5
ID2437,JEP5
ID2438,JEP5
ID2439,JEP5
ID2441,JEP5
ID2442,JEP5
ID2444,JEP5
ID2443,JEP5
ID1951,TH27
ID1952,TH27
ID1954,TH27
ID1955,TH27
ID1956,TH27
ID1957,TH27
ID1958,TH27
ID1803,TH27
ID1804,TH27
ID1806,TH27
ID1807,TH27
ID1808,TH27
ID1805,TH27
ID1986,TH27
ID1987,TH27
ID1988,TH27
ID1983,TH27
ID1982,TH27
ID1984,TH27
ID1820,TH27
ID1822,TH27
ID1823,TH27
ID1825,TH27
ID1826,TH27
ID1827,TH27
ID1821,TH27
ID1824,TH27
ID8228,TH27
ID8229,TH27
ID8230,TH27
ID8231,TH27
ID8232,TH27
ID11370,TH27
ID11396,TH27
ID11397,TH27
ID11398,TH27
ID1828,TH27
ID1829,TH27
ID1830,TH27
ID1831,TH27
ID1832,TH27
ID1833,TH27
ID1834,TH27
ID2259,TH27
ID2260,TH27
ID2261,TH27
ID2263,TH27
ID2264,TH27
ID2265,TH27
ID2266,TH27
ID2273,TH27
ID2267,TH27
ID2268,TH27
ID2269,TH27
ID2270,TH27
ID2271,TH27
ID2272,TH27
ID2262,TH27
ID1655,TH27
ID1656,TH27
ID1658,TH27
ID1660,TH27
ID1659,TH27
ID1027,TH27
ID1028,TH27
ID1029,TH27
ID1030,TH27
ID1031,TH27
ID1032,TH27
ID1033,TH27
ID5255,TH27
ID5256,TH27
ID5257,TH27
ID7620,TH27
ID7621,TH27
ID7622,TH27
ID7623,TH27
ID7624,TH27
ID7628,TH27
ID4985,TH27
ID4986,TH27
ID4987,TH27
ID4989,TH27
ID4991,TH27
ID4992,TH27
ID1752,TH27
ID1753,TH27
ID1801,TH27
ID1809,TH27
ID1864,TH27
ID1865,TH27
ID1867,TH27
ID1868,TH27
ID1869,TH27
ID1866,TH27
ID1901,TH27
ID1902,TH27
ID1903,TH27
ID1904,TH27
ID1905,TH27
ID1906,TH27
ID1907,TH27
ID1908,TH27
ID1914,TH27
ID1915,TH27
ID1916,TH27
ID1917,TH27
ID1918,TH27
ID1919,TH27
ID1601,TH27
ID1602,TH27
ID1603,TH27
ID1604,TH27
ID9251,TH27
ID9302,TH27
ID9303,TH27
ID9304,TH27
ID9305,TH27
ID9306,TH27
ID9308,TH27
ID9309,TH27
ID9310,TH27
ID9307,TH27
ID11180,TH27
ID11182,TH27
ID11183,TH27
ID11184,TH27
ID11185,TH27
ID11188,TH27
ID11203,TH27
ID11204,TH27
ID11205,TH27
ID11206,TH27
ID11207,TH27
ID11208,TH27
ID11254,TH27
ID11267,TH27
ID11268,TH27
ID11269,TH27
ID11271,TH27
ID11257,TH27
ID11258,TH27
ID11260,TH27
ID11261,TH27
ID11265,TH27
ID11274,TH27
ID11279,TH27
ID11297,TH27
ID11302,TH27
ID11163,TH27
ID11164,TH27
