did,tempe
ID8241,23C
ID8242,23C
ID8243,23C
ID2057,18C
ID2059,18C
ID2070,18C
ID2071,18C
ID2072,18C
ID2073,18C
ID4657,18C
ID4658,18C
ID4659,18C
ID4660,18C
ID4661,18C
ID4662,18C
ID4663,18C
ID8326,23C
ID8329,23C
ID8330,23C
ID8331,23C
ID8332,23C
ID8333,23C
ID9751,18C
ID9752,18C
ID9753,18C
ID9754,18C
ID9755,18C
ID9756,18C
ID9757,18C
ID9758,18C
ID1968,18C
ID1967,18C
ID1969,18C
ID1970,18C
ID1971,18C
ID1972,18C
ID1973,18C
ID929,18C
ID942,18C
ID944,18C
ID938,18C
ID941,18C
ID6051,23C
ID6052,23C
ID6053,23C
ID6054,23C
ID6055,23C
ID6058,23C
ID6102,23C
ID6103,23C
ID6119,23C
ID6100,23C
ID6094,23C
ID6095,23C
ID11337,23C
ID11340,23C
ID11342,23C
ID11321,23C
ID11324,23C
ID11325,23C
ID11326,23C
ID11327,23C
ID11328,23C
ID8107,15C
ID8108,15C
ID8109,15C
ID8110,15C
ID8111,15C
ID8112,15C
ID8215,15C
ID8217,15C
ID7507,15C
ID7508,15C
ID7509,15C
ID7510,15C
ID7511,15C
ID7555,15C
ID7557,15C
ID7558,15C
ID7478,25C
ID7479,25C
ID7480,25C
ID7653,25C
ID7655,25C
ID7656,25C
ID7657,25C
ID7658,25C
ID7660,25C
ID7512,15C
ID7513,15C
ID7514,15C
ID7515,15C
ID7516,15C
ID7551,15C
ID7552,15C
ID7553,15C
ID7554,15C
ID8519,15C
ID8520,15C
ID8521,15C
ID8522,15C
ID8523,15C
ID8509,15C
ID8510,15C
ID8511,15C
ID8516,15C
ID8517,15C
ID8518,15C
ID2429,18C
ID2436,18C
ID2404,18C
ID2405,18C
ID2406,18C
ID2407,18C
ID2408,18C
ID2410,18C
ID2411,18C
ID2412,18C
ID2415,18C
ID2416,18C
ID2431,18C
ID2432,18C
ID2433,18C
ID2435,18C
ID2437,18C
ID2438,18C
ID2439,18C
ID2441,18C
ID2442,18C
ID2444,18C
ID2443,18C
ID1951,18C
ID1952,18C
ID1954,18C
ID1955,18C
ID1956,18C
ID1957,18C
ID1958,18C
ID1803,18C
ID1804,18C
ID1806,18C
ID1807,18C
ID1808,18C
ID1805,18C
ID1986,18C
ID1987,18C
ID1988,18C
ID1983,18C
